"lake","doy","year","oxycline"
"L",162,2024,7
"L",163,2024,7
"L",164,2024,7
"L",165,2024,6.75
"L",166,2024,7.25
"L",167,2024,7
"L",168,2024,7
"L",169,2024,7
"L",170,2024,6.75
"L",171,2024,7
"L",172,2024,7
"L",173,2024,6.75
"L",174,2024,6.75
"L",175,2024,6.75
"L",176,2024,7
"L",177,2024,6.75
"L",178,2024,6.75
"L",179,2024,6.75
"L",180,2024,6.75
"L",181,2024,7
"L",182,2024,7
"L",183,2024,7.25
"L",184,2024,7.25
"L",185,2024,7.25
"L",186,2024,7.25
"L",187,2024,7
"L",188,2024,7
"L",189,2024,7
"L",190,2024,7
"L",191,2024,7
"L",192,2024,7.25
"L",193,2024,7
"L",194,2024,7
"L",195,2024,7
"L",196,2024,7
"L",197,2024,7
"L",198,2024,6.75
"L",199,2024,6.75
"L",200,2024,6.75
"L",201,2024,7
"L",202,2024,7
"L",203,2024,7
"L",204,2024,7
"L",205,2024,7
"L",206,2024,7
"L",207,2024,6.75
"L",208,2024,6.5
"L",209,2024,6.75
"L",210,2024,6.75
"L",211,2024,6.75
"L",212,2024,7
"L",213,2024,7
"L",214,2024,6.75
"L",215,2024,6.75
"L",216,2024,6.75
"L",217,2024,6.75
"L",218,2024,6.75
"L",219,2024,6.75
"L",220,2024,6.75
"L",221,2024,6.5
"L",222,2024,6.5
"L",223,2024,6.5
"L",224,2024,6.5
"L",225,2024,6.5
"L",226,2024,6.5
"L",227,2024,6.5
"L",228,2024,6.5
"L",229,2024,6.5
"L",230,2024,6.5
"L",231,2024,6.5
"L",232,2024,6.25
"L",233,2024,6.5
"L",234,2024,6.5
"L",235,2024,6.5
"L",236,2024,6.5
"L",237,2024,6.5
"R",162,2024,6.5
"R",163,2024,6.5
"R",164,2024,6.5
"R",165,2024,6.25
"R",166,2024,6.25
"R",167,2024,6.25
"R",168,2024,6.25
"R",169,2024,6.25
"R",170,2024,6.25
"R",171,2024,6.25
"R",172,2024,6.25
"R",173,2024,6
"R",174,2024,6
"R",175,2024,6
"R",176,2024,5.75
"R",177,2024,6
"R",178,2024,6
"R",179,2024,6
"R",180,2024,6
"R",181,2024,6
"R",182,2024,6
"R",183,2024,6
"R",184,2024,6
"R",185,2024,5.75
"R",186,2024,5.75
"R",187,2024,6
"R",188,2024,6
"R",189,2024,6
"R",190,2024,6
"R",191,2024,6
"R",192,2024,6
"R",193,2024,6
"R",194,2024,6
"R",195,2024,6
"R",196,2024,6
"R",197,2024,6
"R",198,2024,6
"R",199,2024,5.75
"R",200,2024,5.75
"R",201,2024,5.5
"R",202,2024,5.75
"R",203,2024,5.75
"R",204,2024,6
"R",205,2024,5.75
"R",206,2024,5.75
"R",207,2024,5.75
"R",208,2024,5.75
"R",209,2024,5.75
"R",210,2024,5.75
"R",211,2024,5.75
"R",212,2024,5.5
"R",213,2024,5.5
"R",214,2024,5.75
"R",215,2024,5.75
"R",216,2024,5.75
"R",217,2024,5.75
"R",218,2024,5.5
"R",219,2024,5.5
"R",220,2024,5.5
"R",221,2024,5.5
"R",222,2024,5.5
"R",223,2024,5.5
"R",224,2024,5.5
"R",225,2024,5.5
"R",226,2024,5.5
"R",227,2024,5.75
"R",228,2024,5.75
"R",229,2024,5.75
"R",230,2024,5.75
"R",231,2024,5.75
"R",232,2024,5.75
"R",233,2024,5.75
"R",234,2024,5.75
"R",235,2024,5.75
"R",236,2024,5.75
"R",237,2024,5.75
"T",162,2024,6.5
"T",163,2024,6.5
"T",164,2024,6.25
"T",165,2024,6
"T",166,2024,6.75
"T",167,2024,6.75
"T",168,2024,6.75
"T",169,2024,6.75
"T",170,2024,6.75
"T",171,2024,6.5
"T",172,2024,6
"T",173,2024,6.25
"T",174,2024,6.25
"T",175,2024,6
"T",176,2024,5.5
"T",177,2024,5.75
"T",178,2024,6
"T",179,2024,6
"T",180,2024,5.75
"T",181,2024,6
"T",182,2024,6
"T",183,2024,6
"T",184,2024,6
"T",185,2024,5.5
"T",186,2024,5.5
"T",187,2024,5.75
"T",188,2024,6
"T",192,2024,5.5
"T",193,2024,5.5
"T",194,2024,5.75
"T",195,2024,5.5
"T",196,2024,5.5
"T",197,2024,5.5
"T",198,2024,5.5
"T",199,2024,5.5
"T",200,2024,5.25
"T",201,2024,5
"T",202,2024,5
"T",203,2024,5
"T",204,2024,5
"T",205,2024,5
"T",206,2024,5
"T",207,2024,5
"T",208,2024,5
"T",209,2024,5
"T",210,2024,5
"T",211,2024,5
"T",212,2024,5
"T",213,2024,5
"T",214,2024,5
"T",215,2024,5
"T",216,2024,4.75
"T",217,2024,4.75
"T",218,2024,4.75
"T",219,2024,4.75
"T",220,2024,4.5
"T",221,2024,4.75
"T",222,2024,4.75
"T",223,2024,4.5
"T",224,2024,4.5
"T",225,2024,4.5
"T",226,2024,4.5
"T",227,2024,4.5
"T",232,2024,4.5
"T",233,2024,4.5
"T",234,2024,4.5
"T",235,2024,4.5
"T",236,2024,4.5
"T",237,2024,4.5
