"doy","lake","year","k","kcrit.depth"
134,"R",2024,-0.922852758592979,4.99014599796098
134,"T",2024,-1.31162478687319,3.51104221732373
137,"R",2024,-1.07991206172323,4.2643935216831
138,"R",2024,-0.984498229355569,4.67768235907793
138,"T",2024,-1.54042387461238,2.98954727714721
139,"R",2024,-0.982232868322077,4.6884706758662
140,"R",2024,-0.942447703807755,4.886393145629
141,"R",2024,-0.911133142047016,5.05433266279141
142,"L",2024,-0.62257719103062,7.39694622023746
143,"R",2024,-0.922136929749263,4.99401970730333
143,"T",2024,-1.38592985373859,3.32280164654612
144,"R",2024,-0.926534398804402,4.97031735242912
145,"R",2024,-0.950535024132214,4.8448188473689
145,"T",2024,-1.37511957226555,3.34892331756493
146,"R",2024,-1.02091531096078,4.51082469873637
148,"R",2024,-1.02601440222497,4.48840678065866
149,"L",2024,-0.686504970690533,6.70813788189736
150,"R",2022,-1.05239449179277,4.37589709554164
150,"T",2024,-1.27880813933909,3.60114223419007
151,"L",2022,-0.739709351395153,6.22564794038938
153,"T",2022,-1.23966106778692,3.71486216649627
155,"R",2024,-0.994993352682154,4.62834247845583
156,"L",2024,-0.649860082583057,7.08640232478262
157,"R",2022,-1.00946231304427,4.5620029004471
157,"T",2024,-1.15162177886522,3.99885629510918
158,"L",2022,-0.775779586591249,5.93618352376991
159,"T",2022,-1.30730723958028,3.52263787774824
162,"R",2024,-1.00690620666059,4.57358388451401
163,"L",2024,-0.585878545631096,7.86028099909241
164,"R",2022,-1.08137917150314,4.25860800851074
164,"T",2024,-1.23151802291364,3.73942558234321
165,"L",2022,-0.718940318769297,6.40549692342094
166,"T",2022,-1.33846045423421,3.44064703998656
169,"R",2024,-1.1968681117955,3.84768376282621
170,"L",2024,-0.662020030809242,6.95623966901835
171,"R",2022,-0.992244969798201,4.64116235422849
171,"T",2024,-1.5800857941097,2.91450629906763
172,"L",2022,-0.703485934205935,6.5462147515403
173,"T",2022,-1.19904883974112,3.8406859231808
176,"R",2024,-1.08942657219632,4.22715042714245
177,"L",2024,-0.685887153236918,6.71418028208686
178,"L",2022,-0.677833632046003,6.79395323908545
178,"R",2022,-1.0468632107623,4.39901789713924
178,"T",2024,-1.37644104308833,3.34570813848106
179,"T",2022,-1.24971101525841,3.68498792422645
183,"R",2024,-1.18719351394228,3.87903904958824
184,"L",2024,-0.669358908604449,6.87997117958936
185,"T",2024,-1.51903763240338,3.03163654524729
186,"L",2022,-0.696360078890734,6.6132021917968
186,"R",2022,-0.941354911503264,4.89206562129254
187,"T",2022,-1.27869755642069,3.60145366421965
190,"R",2024,-1.20549920822667,3.82013523407813
191,"L",2024,-0.704136030196929,6.54017093644825
192,"R",2022,-1.00797147993699,4.56875029865715
192,"T",2024,-1.37940438103546,3.3385206421797
193,"L",2022,-0.73403518802779,6.27377280423462
194,"T",2022,-1.26623307455643,3.63690547383088
197,"R",2024,-1.45138455816314,3.17294956329718
198,"L",2024,-0.635600189430963,7.24538802312645
199,"R",2022,-1.08103084034117,4.2599802227165
199,"T",2024,-1.23862802513987,3.71796044214322
200,"L",2022,-0.778299541064089,5.91696353013882
201,"T",2022,-1.20528430031932,3.82081638230907
204,"R",2024,-1.48134679242685,3.10877238438911
205,"L",2024,-0.590822223207761,7.79451046204232
206,"R",2022,-0.972499582122839,4.7353953509651
206,"T",2024,-1.62833488850726,2.8281467359713
207,"L",2022,-0.856946887901595,5.37392697845799
208,"T",2022,-1.34352081674328,3.42768786505522
211,"R",2024,-1.16423636609858,3.95552839105359
212,"L",2024,-0.701742948775677,6.56247420516955
213,"R",2022,-1.04528630138033,4.40565421542283
213,"T",2024,-1.67965006359539,2.7417437118672
214,"L",2022,-0.78368721342012,5.87628574403096
215,"T",2022,-1.29224377770274,3.56370065730689
218,"R",2024,-1.4987297270695,3.07271545817976
219,"L",2024,-0.673591916385465,6.83673584551255
219,"T",2022,-1.22798295478672,3.75019049087685
220,"L",2022,-0.766573719087946,6.00747179994527
220,"R",2022,-0.97265186030049,4.73465397843097
220,"T",2024,-1.59156579011844,2.89348390659823
225,"R",2024,-1.10453608141085,4.16932509268298
226,"L",2024,-0.707879469358034,6.50558491854039
227,"T",2024,-1.6371458304678,2.81292595582893
232,"R",2024,-1.08894675849664,4.22901300184567
233,"L",2024,-0.763443074126762,6.03210659192562
234,"T",2024,-1.55828150040449,2.95528760291681
