lake,depth,sample_type,date,samplecode,box,slot,doy,run_sid
R,PML,TN_TP,5/20/2024,RPML45432,R,1_1,141,RPML141
R,Meta,TN_TP,5/20/2024,RMeta45432,R,1_2,141,RMeta141
R,Hypo,TN_TP,5/20/2024,RHypo45432,R,1_3,141,RHypo141
R,PML,TN_TP,5/27/2024,RPML45439,R,1_4,148,RPML148
R,Meta,TN_TP,5/27/2024,RMeta45439,R,1_5,148,RMeta148
R,Hypo,TN_TP,5/27/2024,RHypo45439,R,1_6,148,RHypo148
R,PML,TN_TP,6/3/2024,RPML45446,R,1_7,155,RPML155
R,Meta,TN_TP,6/3/2024,RMeta45446,R,2_1,155,RMeta155
R,Hypo,TN_TP,6/3/2024,RHypo45446,R,2_2,155,RHypo155
R,PML,TN_TP,6/10/2024,RPML45453,R,2_3,162,RPML162
R,Meta,TN_TP,6/10/2024,RMeta45453,R,2_4,162,RMeta162
R,Hypo,TN_TP,6/10/2024,RHypo45453,R,2_5,162,RHypo162
R,PML,TN_TP,6/17/2024,RPML45460,R,2_6,169,RPML169
R,Meta,TN_TP,6/17/2024,RMeta45460,R,2_7,169,RMeta169
R,Hypo,TN_TP,6/17/2024,RHypo45460,R,3_1,169,RHypo169
R,PML,TN_TP,6/24/2024,RPML45467,R,3_2,176,RPML176
R,Meta,TN_TP,6/24/2024,RMeta45467,R,3_3,176,RMeta176
R,Hypo,TN_TP,6/24/2024,RHypo45467,R,3_4,176,RHypo176
R,PML,TN_TP,7/1/2024,RPML45474,R,3_5,183,RPML183
R,Meta,TN_TP,7/1/2024,RMeta45474,R,3_6,183,RMeta183
R,Hypo,TN_TP,7/1/2024,RHypo45474,R,3_7,183,RHypo183
R,PML,TN_TP,7/8/2024,RPML45481,R,4_1,190,RPML190
R,Meta,TN_TP,7/8/2024,RMeta45481,R,4_2,190,RMeta190
R,Hypo,TN_TP,7/8/2024,RHypo45481,R,4_3,190,RHypo190
R,PML,TN_TP,7/15/2024,RPML45488,R,4_4,197,RPML197
R,Meta,TN_TP,7/15/2024,RMeta45488,R,4_5,197,RMeta197
R,Hypo,TN_TP,7/15/2024,RHypo45488,R,4_6,197,RHypo197
R,PML,TN_TP,7/22/2024,RPML45495,R,4_7,204,RPML204
R,Meta,TN_TP,7/22/2024,RMeta45495,R,5_1,204,RMeta204
R,Hypo,TN_TP,7/22/2024,RHypo45495,R,5_2,204,RHypo204
R,PML,TN_TP,7/29/2024,RPML45502,R,5_3,211,RPML211
R,Meta,TN_TP,7/29/2024,RMeta45502,R,5_4,211,RMeta211
R,Hypo,TN_TP,7/29/2024,RHypo45502,R,5_5,211,RHypo211
R,PML,TN_TP,8/5/2024,RPML45509,R,5_6,218,RPML218
R,Meta,TN_TP,8/5/2024,RMeta45509,R,5_7,218,RMeta218
R,Hypo,TN_TP,8/5/2024,RHypo45509,R,6_1,218,RHypo218
R,PML,TN_TP,8/12/2024,RPML45516,R,6_2,225,RPML225
R,Meta,TN_TP,8/12/2024,RMeta45516,R,6_3,225,RMeta225
R,Hypo,TN_TP,8/12/2024,RHypo45516,R,6_4,225,RHypo225
R,PML,TN_TP,8/19/2024,RPML45523,R,6_5,232,RPML232
R,Meta,TN_TP,8/19/2024,RMeta45523,R,6_6,232,RMeta232
R,Hypo,TN_TP,8/19/2024,RHypo45523,R,6_7,232,RHypo232
L,PML,TN_TP,5/21/2024,LPML45433,L,1_1,142,LPML142
L,Meta,TN_TP,5/21/2024,LMeta45433,L,1_2,142,LMeta142
L,Hypo,TN_TP,5/21/2024,LHypo45433,L,1_3,142,LHypo142
L,PML,TN_TP,5/28/2024,LPML45440,L,1_4,149,LPML149
L,Meta,TN_TP,5/28/2024,LMeta45440,L,1_5,149,LMeta149
L,Hypo,TN_TP,5/28/2024,LHypo45440,L,1_6,149,LHypo149
L,PML,TN_TP,6/4/2024,LPML45447,L,1_7,156,LPML156
L,Meta,TN_TP,6/4/2024,LMeta45447,L,2_1,156,LMeta156
L,Hypo,TN_TP,6/4/2024,LHypo45447,L,2_2,156,LHypo156
L,PML,TN_TP,6/11/2024,LPML45454,L,2_3,163,LPML163
L,Meta,TN_TP,6/11/2024,LMeta45454,L,2_4,163,LMeta163
L,Hypo,TN_TP,6/11/2024,LHypo45454,L,2_5,163,LHypo163
L,PML,TN_TP,6/18/2024,LPML45461,L,2_6,170,LPML170
L,Meta,TN_TP,6/18/2024,LMeta45461,L,2_7,170,LMeta170
L,Hypo,TN_TP,6/18/2024,LHypo45461,L,3_1,170,LHypo170
L,PML,TN_TP,6/25/2024,LPML45468,L,3_2,177,LPML177
L,Meta,TN_TP,6/25/2024,LMeta45468,L,3_3,177,LMeta177
L,Hypo,TN_TP,6/25/2024,LHypo45468,L,3_4,177,LHypo177
L,PML,TN_TP,7/2/2024,LPML45475,L,3_5,184,LPML184
L,Meta,TN_TP,7/2/2024,LMeta45475,L,3_6,184,LMeta184
L,Hypo,TN_TP,7/2/2024,LHypo45475,L,3_7,184,LHypo184
L,PML,TN_TP,7/9/2024,LPML45482,L,4_1,191,LPML191
L,Meta,TN_TP,7/9/2024,LMeta45482,L,4_2,191,LMeta191
L,Hypo,TN_TP,7/9/2024,LHypo45482,L,4_3,191,LHypo191
L,PML,TN_TP,7/16/2024,LPML45489,L,4_4,198,LPML198
L,Meta,TN_TP,7/16/2024,LMeta45489,L,4_5,198,LMeta198
L,Hypo,TN_TP,7/16/2024,LHypo45489,L,4_6,198,LHypo198
L,PML,TN_TP,7/23/2024,LPML45496,L,4_7,205,LPML205
L,Meta,TN_TP,7/23/2024,LMeta45496,L,5_1,205,LMeta205
L,Hypo,TN_TP,7/23/2024,LHypo45496,L,5_2,205,LHypo205
L,PML,TN_TP,7/30/2024,LPML45503,L,5_3,212,LPML212
L,Meta,TN_TP,7/30/2024,LMeta45503,L,5_4,212,LMeta212
L,Hypo,TN_TP,7/30/2024,LHypo45503,L,5_5,212,LHypo212
L,PML,TN_TP,8/6/2024,LPML45510,L,5_6,219,LPML219
L,Meta,TN_TP,8/6/2024,LMeta45510,L,5_7,219,LMeta219
L,Hypo,TN_TP,8/6/2024,LHypo45510,L,6_1,219,LHypo219
L,PML,TN_TP,8/13/2024,LPML45517,L,6_2,226,LPML226
L,Meta,TN_TP,8/13/2024,LMeta45517,L,6_3,226,LMeta226
L,Hypo,TN_TP,8/13/2024,LHypo45517,L,6_4,226,LHypo226
L,PML,TN_TP,8/20/2024,LPML45524,L,6_5,233,LPML233
L,Meta,TN_TP,8/20/2024,LMeta45524,L,6_6,233,LMeta233
L,Hypo,TN_TP,8/20/2024,LHypo45524,L,6_7,233,LHypo233
T,PML,TN_TP,5/22/2024,TPML45434,T,1_1,143,TPML143
T,Meta,TN_TP,5/22/2024,TMeta45434,T,1_2,143,TMeta143
T,Hypo,TN_TP,5/22/2024,THypo45434,T,1_3,143,THypo143
T,PML,TN_TP,5/29/2024,TPML45441,T,1_4,150,TPML150
T,Meta,TN_TP,5/29/2024,TMeta45441,T,1_5,150,TMeta150
T,Hypo,TN_TP,5/29/2024,THypo45441,T,1_6,150,THypo150
T,PML,TN_TP,6/5/2024,TPML45448,T,1_7,157,TPML157
T,Meta,TN_TP,6/5/2024,TMeta45448,T,2_1,157,TMeta157
T,Hypo,TN_TP,6/5/2024,THypo45448,T,2_2,157,THypo157
T,PML,TN_TP,6/12/2024,TPML45455,T,2_3,164,TPML164
T,Meta,TN_TP,6/12/2024,TMeta45455,T,2_4,164,TMeta164
T,Hypo,TN_TP,6/12/2024,THypo45455,T,2_5,164,THypo164
T,PML,TN_TP,6/19/2024,TPML45462,T,2_6,171,TPML171
T,Meta,TN_TP,6/19/2024,TMeta45462,T,2_7,171,TMeta171
T,Hypo,TN_TP,6/19/2024,THypo45462,T,3_1,171,THypo171
T,PML,TN_TP,6/26/2024,TPML45469,T,3_2,178,TPML178
T,Meta,TN_TP,6/26/2024,TMeta45469,T,3_3,178,TMeta178
T,Hypo,TN_TP,6/26/2024,THypo45469,T,3_4,178,THypo178
T,PML,TN_TP,7/3/2024,TPML45476,T,3_5,185,TPML185
T,Meta,TN_TP,7/3/2024,TMeta45476,T,3_6,185,TMeta185
T,Hypo,TN_TP,7/3/2024,THypo45476,T,3_7,185,THypo185
T,PML,TN_TP,7/10/2024,TPML45483,T,4_1,192,TPML192
T,Meta,TN_TP,7/10/2024,TMeta45483,T,4_2,192,TMeta192
T,Hypo,TN_TP,7/10/2024,THypo45483,T,4_3,192,THypo192
T,PML,TN_TP,7/17/2024,TPML45490,T,4_4,199,TPML199
T,Meta,TN_TP,7/17/2024,TMeta45490,T,4_5,199,TMeta199
T,Hypo,TN_TP,7/17/2024,THypo45490,T,4_6,199,THypo199
T,PML,TN_TP,7/24/2024,TPML45497,T,4_7,206,TPML206
T,Meta,TN_TP,7/24/2024,TMeta45497,T,5_1,206,TMeta206
T,Hypo,TN_TP,7/24/2024,THypo45497,T,5_2,206,THypo206
T,PML,TN_TP,7/31/2024,TPML45504,T,5_3,213,TPML213
T,Meta,TN_TP,7/31/2024,TMeta45504,T,5_4,213,TMeta213
T,Hypo,TN_TP,7/31/2024,THypo45504,T,5_5,213,THypo213
T,PML,TN_TP,8/7/2024,TPML45511,T,5_6,220,TPML220
T,Meta,TN_TP,8/7/2024,TMeta45511,T,5_7,220,TMeta220
T,Hypo,TN_TP,8/7/2024,THypo45511,T,6_1,220,THypo220
T,PML,TN_TP,8/14/2024,TPML45518,T,6_2,227,TPML227
T,Meta,TN_TP,8/14/2024,TMeta45518,T,6_3,227,TMeta227
T,Hypo,TN_TP,8/14/2024,THypo45518,T,6_4,227,THypo227
T,PML,TN_TP,8/21/2024,TPML45525,T,6_5,234,TPML234
T,Meta,TN_TP,8/21/2024,TMeta45525,T,6_6,234,TMeta234
T,Hypo,TN_TP,8/21/2024,THypo45525,T,6_7,234,THypo234
